year,path,file,category,md5sum,is_well_formed,num_vars,num_clauses,num_unary_clauses,num_binary_clauses,num_ternary_clauses,num_large_clauses,num_generators,percent_sym_vars,is_only_involution,is_inverting_perm,num_orbits
2012,2012/hard/Hard Combinatorial SAT+UNSAT/SATCompetition2011/crafted/SAT04/handmade/kexu/frb-0.6/frb75-13-2.used-as.sat04-878.cnf,frb75-13-2.used-as.sat04-878.cnf,unknown,00e6f1cbbaaa8f43dc6451d49bfa1cef,1,975,34275,0,33363,0,75,0,0,1,0,0
2014,2014/app/sc14-app/004-80-8.cnf,004-80-8.cnf,unknown,00fed1439ff549865eeda3fd8dc634d1,1,13408,478484,296,90,8800,469298,0,0,1,0,0
2015,2015/all/004-80-8.cnf,004-80-8.cnf,unknown,00fed1439ff549865eeda3fd8dc634d1,1,13408,478484,296,90,8800,469298,0,0,1,0,0
2012,2012/app/Application SAT+UNSAT/SATChallenge2012_Application/SAT Race unselected/manolios/cnf/c9idw_i.cnf,c9idw_i.cnf,c,0105fb92bac252e8f6c325090a186ad9,1,156510,464107,1,309404,154702,0,3,18,1,0,13953
2012,2012/hard/Hard Combinatorial SAT+UNSAT/SATCompetition2011/crafted/SAT02/handmade/simon/satex-challenges/par32-3.shuffled.cnf,par32-3.shuffled.cnf,unknown,0115a0e26236f3f01aa829c2004452c1,1,3176,10297,141,3028,7128,0,-1,-1,-1,-1,-1
2013,2013/app/SC13_submissions/nossum--sha1/22-144/001.cnf,001.cnf,nosum-sha1,012facf42627e6b0d9846f3749ffa28e,1,4128,126564,432,32,4612,121488,63,2,1,0,1
2013,2013/app/satchal12-selected/Application_SAT+UNSAT/SATCompetition2011/application/SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT.cnf,transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT.cnf,unknown,0176f3dd09fed1b561c875e1d6538c8d,1,723130,3869060,380,3824280,1440,42960,0,0,1,0,0
2012,2012/app/Application SAT+UNSAT/SATCompetition2011/application/SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT.cnf,transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT.cnf,unknown,0176f3dd09fed1b561c875e1d6538c8d,1,723130,3869060,380,3824280,1440,42960,0,0,1,0,0
2017,2017/all/NoLimits/g2-T169.2.0.cnf,g2-T169.2.0.cnf,t,0180976ab6cd897d37374d1703f25cc3,1,2996015,10506588,0,4261465,5749856,123409,527,1,1,0,963
2016,2016/app/NoLimits/g2-T169.2.0.cnf,g2-T169.2.0.cnf,t,0180976ab6cd897d37374d1703f25cc3,1,2996015,10506588,0,4261465,5749856,123409,527,1,1,0,963
2013,2013/hard/SC13_submissions/kovasznai_frohlich_biere--smtbench/shift1add/shift1add.17976.cnf,shift1add.17976.cnf,shift,019ecf80de7152458ba8343acf5ee631,1,395463,701045,1,467364,233680,0,2,1,1,1,3
2014,2014/hard/sc14-crafted/mrpp_8x8#18_14.cnf,mrpp_8x8#18_14.cnf,unknown,01a2696e3acbbd1d65363da5c2e8e6c6,1,12662,103218,580,42627,33098,26913,0,0,1,0,0
2013,2013/app/SC13_submissions/soos--grainofsalt/hitag2-exptime1200/hitag2-10-60-0-0xa04d664a73eac4d-66.cnf,hitag2-10-60-0-0xa04d664a73eac4d-66.cnf,hitag,01aca16b935575068eaddec12d081eaa,1,2255,29932,70,4305,635,24922,69,4,1,0,1
2012,2012/app/Application SAT+UNSAT/SATChallenge2012_Application/SAT Race unselected/satelite/goldberg03:hard_eq_check:i8mul.miter.used-as.sat04-334.cnf,goldberg03:hard_eq_check:i8mul.miter.used-as.sat04-334.cnf,unknown,01ee00274d4b02ce02ca1d5ee6abe993,1,14524,91139,0,20982,42612,27545,0,0,1,0,0
2012,2012/app/Application SAT+UNSAT/SATChallenge2012_Application/SAT Race unselected/manolios/cnf/g10nidw.cnf,g10nidw.cnf,g10,01f3f78c027ad45a11d7972fbfdf97e1,1,233852,694321,1,462880,231440,0,1,6,1,0,6813
2012,2012/hard/Hard Combinatorial SAT+UNSAT/SATChallenge2012_crafted_debugged/sgen1-unsat-151-100.cnf.mis-114.debugged.cnf,sgen1-unsat-151-100.cnf.mis-114.debugged.cnf,unknown,01fb884896890be6816eac7a7ba58420,1,17481,34926,113,17750,17063,0,0,0,1,0,0
2014,2014/hard/sc14-crafted/sgen6-960-5-1.cnf,sgen6-960-5-1.cnf,unknown,0201c9facefe73ffd7c1e6d6ae7272a0,1,160,384,0,320,0,64,0,0,1,0,0
2012,2012/app/Application SAT+UNSAT/SATCompetition2011/application/SAT11/application/leberre/2dimensionalstrippacking/E05F18.cnf,E05F18.cnf,unknown,0219a55415ff7fae71350d03c49bcd06,1,7794,126826,20,20311,17319,89142,0,0,1,0,0
2012,2012/hard/Hard Combinatorial SAT+UNSAT/Submissions/Combinatorial/sgen4-sat2012-sat/sgen4-sat-200-8.cnf,sgen4-sat-200-8.cnf,unknown,021c9fea79cc690d64d56397d1d1bd3c,1,200,480,0,400,0,80,0,0,1,0,0
2017,2017/all/NoLimits/mp1-rubikcube901.cnf,mp1-rubikcube901.cnf,unknown,024e59932b42dc4ff4b12879f2bca067,1,2730,56093,208,1275,48112,6498,0,0,1,0,0
2016,2016/app/NoLimits/mp1-rubikcube901.cnf,mp1-rubikcube901.cnf,unknown,024e59932b42dc4ff4b12879f2bca067,1,2730,56093,208,1275,48112,6498,0,0,1,0,0
2012,2012/app/Application SAT+UNSAT/SAT Race 2010/cryptography/md5gen/gus-md5-10.cnf,gus-md5-10.cnf,md5gen,0260f441a1d07270edb6a85b2fc90d1d,1,69503,226618,129,92294,134195,0,1,100,1,0,34614
2013,2013/hard/SC13_submissions/biere--tph/tph19.cnf,tph19.cnf,tph,02b508588cd29b260211e3e9ff4b1ee8,1,741,173680,0,0,173641,39,56,100,1,0,1
2014,2014/hard/sc14-crafted/edges-025-4-10062999-1-00.cnf,edges-025-4-10062999-1-00.cnf,unknown,02cd346debf5c21df6480e2050040c0e,1,101,212,0,0,212,0,0,0,1,0,0
2012,2012/hard/Hard Combinatorial SAT+UNSAT/SATCompetition2011/crafted/SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q369.75-n30-p15-s59317012.cnf,srhd-sgi-m32-q369.75-n30-p15-s59317012.cnf,unknown,02e75ad23aeadbf30b2a4fb3c21ae723,1,894,82294,0,82264,0,30,0,0,1,0,0
2014,2014/hard/sc14-crafted/mrpp_8x8#16_12.cnf,mrpp_8x8#16_12.cnf,unknown,030415e21badb34aafe6388c0eb05c3e,1,10790,88870,580,36069,28006,24215,0,0,1,0,0
2018,2018/all/Ehlers/ex009_10.cnf,ex009_10.cnf,unknown,030749580c824723155a0a5e6d5df169,0,261146,6513812,2024,322318,1202630,1492920,0,0,1,0,0
2012,2012/hard/Hard Combinatorial SAT+UNSAT/SATCompetition2011/crafted/SAT02/handmade/chu-min-li/urquhart/urquhart3_25bis.shuffled.cnf,urquhart3_25bis.shuffled.cnf,unknown,0313821ef13a43b48c58a56902d9e90b,1,99,264,0,0,264,0,34,100,1,1,99
2014,2014/app/sc14-app/stable-400-0.1-5-9876543214005.cnf,stable-400-0.1-5-9876543214005.cnf,unknown,031a62119e46b94734939aae03922aab,1,400,30584,0,15092,0,14715,0,0,1,0,0
2018,2018/all/Manthey/Problem11_label29_false-unreach-call.c.cnf,Problem11_label29_false-unreach-call.c.cnf,unreach,034010977b40f9e68836ed39cfcf3a35,1,1497096,6358575,23004,1076946,4783668,460985,811,2,1,1,1513
2013,2013/hard/SC13_submissions/surynek--gridMRPP/4x4_10pc/SAT/mrpp_4x4#8_10.cnf,mrpp_4x4#8_10.cnf,unknown,0346ced6a4e5704bbb7d2c936bf3263e,1,2208,14003,128,6336,4788,2751,0,0,1,0,0
2012,2012/app/Application SAT+UNSAT/SATChallenge2012_Application/SAT Race unselected/ibm/2002/13_rule_1/SAT_dat.k30.cnf,SAT_dat.k30.cnf,ibm,03500a4d5154d29cb90a2da4600bdebd,1,33787,138990,408,62676,70520,5386,1423,5,1,1,8
2012,2012/app/Application SAT+UNSAT/SATCompetition2009/application/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_22_SAT.cnf,ndhf_xits_22_SAT.cnf,unknown,0370c302d744cf5297e07b7d8a6a8190,1,4692,582514,0,7069,575414,31,0,0,1,0,0
2015,2015/all/mrpp_6x6#16_12.cnf,mrpp_6x6#16_12.cnf,unknown,03760fb82c40fb4543b80c0219d325a7,1,6401,50677,350,20680,16522,13125,0,0,1,0,0
2014,2014/hard/sc14-crafted/rook-54-1-1.cnf,rook-54-1-1.cnf,unknown,037f57b90eac5ea1b136b2acc6c0718b,1,163185,632549,1,160376,472064,108,0,0,1,0,0
2013,2013/app/satchal12-selected/Application_SAT+UNSAT/SATCompetition2009/application/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_21_SAT.cnf,ndhf_xits_21_SAT.cnf,unknown,03a36a0e1b9af8e7c30a29a92e02302e,1,4466,542457,0,6774,535652,31,0,0,1,0,0
2012,2012/app/Application SAT+UNSAT/SATCompetition2009/application/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_21_SAT.cnf,ndhf_xits_21_SAT.cnf,unknown,03a36a0e1b9af8e7c30a29a92e02302e,1,4466,542457,0,6774,535652,31,0,0,1,0,0
2012,2012/app/Application SAT+UNSAT/SATChallenge2012_Application/SAT Race unselected/ibm/2002/11_rule_1/SAT_dat.k85.cnf,SAT_dat.k85.cnf,ibm,03aff0c99e96255f9899621ff234a765,1,298266,1215288,5118,921403,150720,125462,6801,3,1,0,2
2014,2014/hard/sc14-crafted/edges-025-4-1237111-1-00.cnf,edges-025-4-1237111-1-00.cnf,unknown,03b5447a0a4f911c1bf2756213113b15,1,101,212,0,0,212,0,0,0,1,0,0
2012,2012/app/Application SAT+UNSAT/SATCompetition2007/industrial/palacios/hard/safe-50-h50-sat.cnf,safe-50-h50-sat.cnf,unknown,03c6b6156c444674b996a4279225be1a,1,633392,2141556,50,1518215,615030,8261,0,0,1,0,0
2017,2017/all/NoLimits/mp1-blockpuzzle_9x9_s7_free9.cnf,mp1-blockpuzzle_9x9_s7_free9.cnf,blockpuzzle,03e3838ec079792fed81a6d9b413e617,1,7452,1284255,1075,645930,0,81,26,100,1,0,1296
2016,2016/app/NoLimits/mp1-blockpuzzle_9x9_s7_free9.cnf,mp1-blockpuzzle_9x9_s7_free9.cnf,blockpuzzle,03e3838ec079792fed81a6d9b413e617,1,7452,1284255,1075,645930,0,81,26,100,1,0,1296
2018,2018/all/Chen/20180326_095801070_p_cnf_320_1120.cnf,20180326_095801070_p_cnf_320_1120.cnf,unknown,040c01d06e7a49addc2950ade41a0976,1,320,1120,0,0,1120,0,0,0,1,0,0
2012,2012/app/Application SAT+UNSAT/SATCompetition2009/application/SAT09/APPLICATIONS/bioinfo/q_query_3_l43_lambda.cnf,q_query_3_l43_lambda.cnf,query,040db958f11a89b7e62063379f36b96a,1,30771,153033,4030,38497,89210,21254,192,4,1,0,416
2012,2012/app/Application SAT+UNSAT/SATChallenge2012_Application/SAT Race unselected/manolios/cnf/f9nidw.cnf,f9nidw.cnf,f,04246cefee5885d98ebfa00d4fa55bde,1,626884,1869100,1,1246066,623033,0,1,6,1,0,16837
2014,2014/app/sc14-app/MD5-32-1.cnf,MD5-32-1.cnf,unknown,043c86ba8f900fb263024d1d6f6bf8e5,1,9528,73634,11,633,35871,37119,0,0,1,0,0
2017,2017/all/NoLimits/mp1-Nb6T25.cnf,mp1-Nb6T25.cnf,nb,04413d76e3991f4c185891ceaeddbedf,1,19187,76032,0,29700,36432,9900,5,100,1,0,2798
2016,2016/app/NoLimits/mp1-Nb6T25.cnf,mp1-Nb6T25.cnf,nb,04413d76e3991f4c185891ceaeddbedf,1,19187,76032,0,29700,36432,9900,5,100,1,0,2798
2018,2018/all/Mayer-Eichberger/7-5-6.cnf,7-5-6.cnf,Mayer-Eichberger,0454d64de6b4ecce69927e62d2eba47a,1,56084,1217329,10838,154663,1050600,1164,10840,39,1,0,2648
2018,2018/all/Jingchao/ae_rphp035_05.cnf,ae_rphp035_05.cnf,ae_rphp,0461167d3413859ddb9a88032ae8b5b7,1,2977,6728,0,610,5030,1088,4,52,1,0,697
2012,2012/app/Application SAT+UNSAT/SATChallenge2012_Application/SAT Race unselected/manolios/cnf/f10i.cnf,f10i.cnf,f,046b1092cc10f55550f02ffba2fecdce,1,293862,876820,1,584546,292273,0,3,8,1,0,10925
2017,2017/all/NoLimits/mp1-squ_ali_s10x10_c39_bail_SAT.cnf,mp1-squ_ali_s10x10_c39_bail_SAT.cnf,unknown,0478d6389536be76f8df41f82a8ee357,1,647,3239,0,633,2321,285,0,0,1,0,0
2016,2016/app/NoLimits/mp1-squ_ali_s10x10_c39_bail_SAT.cnf,mp1-squ_ali_s10x10_c39_bail_SAT.cnf,unknown,0478d6389536be76f8df41f82a8ee357,1,647,3239,0,633,2321,285,0,0,1,0,0
2015,2015/all/mrpp_4x4#10_9.cnf,mrpp_4x4#10_9.cnf,unknown,04918776da53c604f5009b87420f65a6,1,1976,12310,128,5632,4256,2294,0,0,1,0,0
2012,2012/hard/Hard Combinatorial SAT+UNSAT/SATChallenge2012_crafted_debugged/x2_56.shuffled-as.sat03-1602.cnf.mis-110.debugged.cnf,x2_56.shuffled-as.sat03-1602.cnf.mis-110.debugged.cnf,unknown,0495ee3973e45f741f8f69ff7ed879d6,1,18316,36685,109,18700,17876,0,0,0,1,0,0
2015,2015/all/mrpp_8x8#12_9.cnf,mrpp_8x8#12_9.cnf,unknown,04a334b1dae6d92e321903dfe6507a8d,1,7451,50916,464,23160,16368,10924,0,0,1,0,0
2012,2012/hard/Hard Combinatorial SAT+UNSAT/SATCompetition2011/crafted/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,rbsat-v945c61409g4.cnf,unknown,04c9f68df814bad18919ca17a3e0867a,1,945,61409,0,58597,0,45,0,0,1,0,0
2014,2014/hard/sc14-crafted/em_14_7_3_cmp.cnf,em_14_7_3_cmp.cnf,edgematching,04d46ce8651fab3a17ac1e6e72eb3503,1,24356,305744,0,77468,165624,50556,129,100,0,0,1673
2012,2012/hard/Hard Combinatorial SAT+UNSAT/SATCompetition2009/crafted/SAT09/CRAFTED/edgematching/compact/em_14_7_3_cmp.cnf,em_14_7_3_cmp.cnf,edgematching,04d46ce8651fab3a17ac1e6e72eb3503,1,24356,305744,0,77468,165624,50556,129,100,0,0,1673
2017,2017/all/NoLimits/mp1-rubikcube701.cnf,mp1-rubikcube701.cnf,unknown,04d8bba18466b2ccf850ca69ce054722,1,3066,62609,224,1395,54448,6542,0,0,1,0,0
2016,2016/app/NoLimits/mp1-rubikcube701.cnf,mp1-rubikcube701.cnf,unknown,04d8bba18466b2ccf850ca69ce054722,1,3066,62609,224,1395,54448,6542,0,0,1,0,0
2012,2012/app/Application SAT+UNSAT/SATChallenge2012_Application/SAT Race unselected/manolios/cnf/c6bi_i.cnf,c6bi_i.cnf,c,051c5f3493607a0cc30055d14270ff2f,1,48142,142204,1,94802,47401,0,3,18,1,0,4108
2012,2012/hard/Hard Combinatorial SAT+UNSAT/SATCompetition2007/crafted/Hard/contest05/others/strips-gripper-12t22.sat05-1151.reshuffled-07.cnf,strips-gripper-12t22.sat05-1151.reshuffled-07.cnf,Strips-gripper,05298a484bf02ec125537b469ecd7326,1,4706,87747,43,86679,111,914,11,96,0,0,326
2017,2017/all/NoLimits/mp1-ps_5000_21250_3_0_0.6_0_1.45_2.cnf,mp1-ps_5000_21250_3_0_0.6_0_1.45_2.cnf,unknown,0541a3d24fde941e29976bba3d16eda0,1,5000,21250,0,0,21250,0,0,0,1,0,0
2016,2016/app/NoLimits/mp1-ps_5000_21250_3_0_0.6_0_1.45_2.cnf,mp1-ps_5000_21250_3_0_0.6_0_1.45_2.cnf,unknown,0541a3d24fde941e29976bba3d16eda0,1,5000,21250,0,0,21250,0,0,0,1,0,0
2012,2012/hard/Hard Combinatorial SAT+UNSAT/SC2012 Hard Combinatorial/satrace-unselected/er/ph10.cnf,ph10.cnf,hole,055ac811c143cccbf44844c342f5ea78,1,110,561,0,550,0,11,19,100,1,0,1
2016,2016/hard/crafted16/Elffers/stone-width3chain-nmarkers-13_shuffled.cnf,stone-width3chain-nmarkers-13_shuffled.cnf,unknown,0591e1f4afdf840fe191eff0213c31ad,1,1722,2493005,0,164,0,2492841,-1,-1,-1,-1,-1
2017,2017/all/NoLimits/g2-ak128boothbg2asisc.cnf,g2-ak128boothbg2asisc.cnf,unknown,05be5555c6e1d3b7a7e5143f60674be5,1,344320,1129588,1,492036,637550,1,0,0,1,0,0
2016,2016/app/NoLimits/g2-ak128boothbg2asisc.cnf,g2-ak128boothbg2asisc.cnf,unknown,05be5555c6e1d3b7a7e5143f60674be5,1,344320,1129588,1,492036,637550,1,0,0,1,0,0
2012,2012/hard/Hard Combinatorial SAT+UNSAT/Submissions/Random/fixed-shape-forced-300-354-2-2-3-2/fsf-300-354-2-2-3-2.94.opt.cnf,fsf-300-354-2-2-3-2.94.opt.cnf,unknown,05d397bc69b134e281a522961c71c4b5,1,3486,8496,0,0,5664,2832,0,0,1,0,0
2015,2015/all/manthey_DimacsSorter_29_8.cnf,manthey_DimacsSorter_29_8.cnf,unknown,05da0666e10aebd35d167e8ac1e552cf,1,4495,14793,0,10427,4096,270,0,0,1,0,0
2015,2015/all/manthey_DimacsSorterHalf_29_8.cnf,manthey_DimacsSorterHalf_29_8.cnf,unknown,05da0666e10aebd35d167e8ac1e552cf,1,4495,14793,0,10427,4096,270,0,0,1,0,0
2012,2012/app/Application SAT+UNSAT/SATChallenge2012_Application/SAT Race unselected/manolios/cnf/c7nidw.cnf,c7nidw.cnf,c,05eda87a8316e4c23e67a3e5b0cb322a,1,169072,501421,1,334280,167140,0,3,11,1,0,9241
2013,2013/hard/SC13_submissions/mugrauer_balint--GI/crafted_n12_d6_c3_num28.cnf,crafted_n12_d6_c3_num28.cnf,crafted,05f35b298620dd522808ad4f311a10a3,1,42048,8570096,0,8569568,0,528,50,100,1,0,1332
2013,2013/hard/SC13_submissions/manthey--hidoku/hid-uns-enc-6-1-0-0-0-0-14492.cnf,hid-uns-enc-6-1-0-0-0-0-14492.cnf,unknown,0600f5e7fb7680500d27e29a7d20df04,1,1908,6232,4,3672,0,2556,0,0,1,0,0
2012,2012/app/Application SAT+UNSAT/SATChallenge2012_Application/SAT Race unselected/manolios/cnf/c6bid_i.cnf,c6bid_i.cnf,c,063785fdfcc8802df2458555a2eb50b3,1,90407,267214,1,178142,89071,0,3,17,1,0,7247
2018,2018/all/Biere/uniqinv20prop.cnf,uniqinv20prop.cnf,uniqinv,06542a4216f54448aea88c3ee944a335,1,3066,8790,1,5860,2929,0,1,97,1,0,1485
2012,2012/app/Application SAT+UNSAT/SATChallenge2012_Application/SAT Race unselected/manolios/cnf/c7nidw_i.cnf,c7nidw_i.cnf,c,0660863c4f8f2bfc94c8773555ecc44a,1,131652,389866,1,259910,129955,0,3,15,1,0,9599
2012,2012/app/Application SAT+UNSAT/SATChallenge2012_Application/SAT Race unselected/satelite/simon03:sat02:f2clk_50.used-as.sat04-365.cnf,simon03:sat02:f2clk_50.used-as.sat04-365.cnf,simon,06679ef7c996ad2b6acf8aff53219343,1,34678,101319,1656,74001,21061,4601,1750,10,1,0,801
2014,2014/app/sc14-app/rbcl_xits_14_SAT.cnf,rbcl_xits_14_SAT.cnf,rbcl,0678a0ef5b4345961915559db9bf689b,1,2220,148488,0,3423,145042,23,1,9,1,0,90
2013,2013/app/satchal12-selected/Application_SAT+UNSAT/SATCompetition2009/application/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_14_SAT.cnf,rbcl_xits_14_SAT.cnf,rbcl,0678a0ef5b4345961915559db9bf689b,1,2220,148488,0,3423,145042,23,1,9,1,0,90
2012,2012/app/Application SAT+UNSAT/SATCompetition2009/application/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_14_SAT.cnf,rbcl_xits_14_SAT.cnf,rbcl,0678a0ef5b4345961915559db9bf689b,1,2220,148488,0,3423,145042,23,1,9,1,0,90
2018,2018/all/Ofer/courses0.2_2017_9.cnf,courses0.2_2017_9.cnf,unknown,0684f4f962b59a16a5a76938d9687d27,1,1243116,2416524,107959,1661993,549097,42039,-1,-1,-1,-1,-1
2017,2017/all/NoLimits/mp1-24.1.cnf,mp1-24.1.cnf,mp1,0698f4dd205ec68f3a5666a3647df480,1,4448,138764,448,34,4624,133658,63,2,1,0,1
2016,2016/app/NoLimits/mp1-24.1.cnf,mp1-24.1.cnf,mp1,0698f4dd205ec68f3a5666a3647df480,1,4448,138764,448,34,4624,133658,63,2,1,0,1
2014,2014/app/sc14-app/005-80-12.cnf,005-80-12.cnf,unknown,06bab79cd99cf9426ea4850931696213,1,13408,478488,300,90,8800,469298,0,0,1,0,0
2015,2015/all/005-80-12.cnf,005-80-12.cnf,unknown,06bab79cd99cf9426ea4850931696213,1,13408,478488,300,90,8800,469298,0,0,1,0,0
2017,2017/all/NoLimits/g2-gss-28-s100.cnf,g2-gss-28-s100.cnf,unknown,06e51f5d7b210924fc518c0569affee4,1,32151,96786,64,61858,34864,0,0,0,1,0,0
2016,2016/app/NoLimits/g2-gss-28-s100.cnf,g2-gss-28-s100.cnf,unknown,06e51f5d7b210924fc518c0569affee4,1,32151,96786,64,61858,34864,0,0,0,1,0,0
2018,2018/all/Porkhunov/mchess_17.cnf,mchess_17.cnf,mchess,0708807641f09bba0d77b74c9c3b43ce,1,544,1815,4,1530,56,225,5,100,1,0,136
2014,2014/app/sc14-app/MD5-29-2.cnf,MD5-29-2.cnf,unknown,07160ca8628ec5cdff841f35849aae1b,1,8590,65305,10,615,32213,32467,0,0,1,0,0
2015,2015/all/MD5-29-2.cnf,MD5-29-2.cnf,unknown,07160ca8628ec5cdff841f35849aae1b,1,8590,65305,10,615,32213,32467,0,0,1,0,0
2014,2014/app/sc14-app/SAT_dat.k80-24_1_rule_2.cnf,SAT_dat.k80-24_1_rule_2.cnf,unknown,07167c031ef8c51af32d2c9c079e57f8,1,1295016,5074572,40272,3561087,984744,398097,-1,-1,-1,-1,-1
2012,2012/hard/Hard Combinatorial SAT+UNSAT/SATChallenge2012_crafted_debugged/sgen1-unsat-97-100.cnf.mis-72.debugged.cnf,sgen1-unsat-97-100.cnf.mis-72.debugged.cnf,unknown,071facaa7e15a14d65b017bea11d1846,1,7009,13996,71,7180,6745,0,0,0,1,0,0
2016,2016/hard/crafted16/Elffers/tseitingrid7x140_shuffled.cnf,tseitingrid7x140_shuffled.cnf,tseitingrid,071ff2cd6bb305d60e4f9cc8191a5a37,1,1960,7840,0,0,0,7840,982,100,0,1,2
2014,2014/app/sc14-app/6s153.cnf,6s153.cnf,6s,0724eb1d371a3c3f67116d0cd8e12777,1,85646,245440,1,163626,81813,0,545,97,1,1,40415
2013,2013/hard/SC13_submissions/mugrauer_balint--LABS/LABS_n064_goal005.cnf,LABS_n064_goal005.cnf,labs,07316ba906a5b562064fd56cb92dde75,1,139152,282081,120,146506,135455,0,2,1,1,0,2
2014,2014/hard/sc14-crafted/ndist.b.25489.cnf,ndist.b.25489.cnf,unknown,0746e63cbf074dfde08ea21ea0381e2b,1,331349,458788,1,305858,152929,0,0,0,1,0,0
